"PL_PAL_ShortDescription","PL_PAL_Identification","PL_ADD_Address1","PL_ADD_Address2","PL_ADD_Zip","PL_ADD_City","PL_ADD_Latitude","PL_ADD_Longitude"
"Yamato Fukazawa center","PCJ00810","Yamato Fukazawa center","Tokyo-to, Setagaya-ku, Todoroki, 6 Chome-5-11","158-0082","Setagaya","35.611154","139.659767"
"Welcia Ukima","PCJ01961","Welcia Ukima","Tokyo-to, Kita-ku, Ukima, 2 Chome-12-24","115-0051","Tokyo","35.790985","139.697401"
"Yamato Tokorozawasakaeshita","PCJ01384","Yamato Tokorozawasakaeshita","Saitama-ken, Tokorozawa-shi, Kamegaya 199-5","359-0014","Tokorozawa","35.808604","139.518593"
"JR Central Shizuoka Station","PCJ01704","JR Central Shizuoka Station","Shizuoka-ken, Shizuoka-shi, Aoi-ku, Kuroganecho 50","420-0851","Shizuoka","34.971757","138.388871"
"Yamato Mihama","PCJ01110","Yamato Mihama","Chiba-ken, Chiba-shi, Mihama-ku, Shinminato, 87-1","261-0002","Chiba","35.616857","140.089789"
"Yamato Aikawasumida","PCJ01768","Yamato Aikawasumida","Kanagawa-ken, Aiko-gun, Aikawa-machi, Sumida 167-5","243-0301","Aiko","35.528205","139.328422"
"JR Central Numazu Station","PCJ01705","JR Central Numazu Station","Shizuoka-ken, Numazu-shi, Otemachi 1 Chome-1-1 ","410-0801","Numazu","35.102702","138.859057"
"Yamato Chigasakishimoterao","PCJ01721","Yamato Chigasakishimoterao","Kanagawa-ken, Chigasaki-shi, Shimoterao 531-1","253-0081","Chigasaki","35.364347","139.400406"
"Yamato Kashiwa center","PCJ01679","Yamato Kashiwa center","Chiba-ken, Kashiwa-shi, Kashiwa 1308-14","277-0005","Kashiwa","35.858086","139.986385"
"Yamato Ouji Toshima center","PCJ00818","Yamato Ouji Toshima center","Tokyo-to, Adachi-ku, Shinden, 1 Chome-9-1","123-0865","Tokyo","35.773080","139.738877"
"Yamato Higashi Asakusa Center","PCJ00668","Yamato Higashi Asakusa Center","Tokyo-to, Taito-ku, Higashiasakusa, 1 Chome-20-8","111-0025","Tokyo","35.722740","139.800718"
"Yamato Senju Midorimachi center","PCJ00859","Yamato Senju Midorimachi center","Tokyo-to, Adachi-ku, Senjumidoricho, 1 Chome-19-16","120-0044 ","Tokyo","35.743750","139.791294"
"Yamato Kawaguchi Maekawa center","PCJ00834","Yamato Kawaguchi Maekawa center","Saitama-ken, Kawaguchi-shi, Maekawa, 3 Chome-1-4","333-0842","Kawaguchi","35.835874","139.710296"
"Yamato Ogawa Higashicho","PCJ00865","Yamato Ogawa Higashicho","Tokyo-to, Kodaira-shi, Ogawacho 2 Chome-1128","187-0032","Kodaira","35.726400","139.465612"
"NPC Quick Ikebukuro Parking","PCJ01792","NPC Quick Ikebukuro Parking","Tokyo-to, Toshima-ku, Ikebukuro 2 Chome-47-2","170-0014","Tokyo","35.733370","139.711060"
"Yamato Hitotsubashigakuen","PCJ00660","Yamato Hitotsubashigakuen","Tokyo-to, Kodaira-shi, Nakamachi 543-2","187-0042","Tokyo","35.730314","139.484299"
"Yamato Kuradacho","PCJ01168","Yamato Kuradacho","Kanagawa-ken, Yokohama-shi, Totsuka-ku, Totsukacho 1595","244-0003","Yokohama","35.383868","139.524147"
"Maruetsu Minamioizumi","PCJ02111","Maruetsu Minamioizumi","Tokyo-to, Nerima-ku, Minamioizumi 5 Chome-30-10","178-0064","Tokyo","35.750652","139.570518"
"Maruetsu Musashisunagawa","PCJ01738","Maruetsu Musashisunagawa","Tokyo-to, Tachikawa-shi, Kamisunacho 5 Chome-43-1","190-0032","Tokyo","35.729219","139.393465"
"Yamato Kashiwa Toyofuta center","PCJ01680","Yamato Kashiwa Toyofuta center","Chiba-ken, Kashiwa-shi, Toyofuta 164-26","277-0872","Kashiwa","35.885672","139.937464"
"Belc Misatogasaki","PCJ02231","Belc Misatogasaki","Saitama-ken,  Misato-shi, Togasaki 2 Chome-580 ","341-0044","Misato","35.799371","139.866865"
"Yorkmart Shakuji","PCJ01874","Yorkmart Shakuji","Tokyo-to, Nerima-ku, Shimoshakujii 1 Chome-2-8","177-0042","Tokyo","35.729250","139.612055"
"Life Fukagawasarue","PCJ02018-171309","Life Fukagawasarue","Tokyo-to, Koto-ku, Sarue 2 Chome-16-8","135-0003","Tokyo","35.685640","139.816280"
"Wondergoo Tougane","PCJ01746","Wondergoo Tougane","Chiba-ken, Togane-shi, Tama 222","283-0005","Togane","35.562954","140.374855"
"Wondergoo Iruma","PCJ01751","Wondergoo Iruma","Saitama-ken, Iruma-shi, Kamifujisawa 387-2","358-0013","Iruma","35.823611","139.400383"
"Auchan Plaisir RC","PCF00038","Auchan Plaisir RC","161 Chemin departamental","78370","PLAISIR","48.828445","1.961557"
"Wonderrex Narita","PCJ02108","Wonderrex Narita","Chiba-ken, Narita-shi, Towada 565-2","286-0134","Narita","35.783135","140.327717"
"Welcia Kitasakado","PCJ02343","Welcia Kitasakado","Saitama-ken, Sakado-shi, Ashiyamacho 13-4","350-0273","Sakado","35.970148","139.401368"
"Life Shukugawara","PCJ02041","Life Shukugawara","Kanagawa-ken, Kawasaki-shi, Tama-ku, Shukugawara 1 Chome-22-37","214-0021","Kawasaki","35.617529","139.576162"
"Acrossmall Shinkamagaya","PCJ02218","Acrossmall Shinkamagaya","Chiba-ken, Kamagaya, Shinkamagaya, 2 Chome-12-1","273-0107","Kamagaya","35.780441","140.001403"
"Life Fukagawasarue","PCJ02018","Life Fukagawasarue","Tokyo-to, Koto-ku, Sarue 2 Chome-16-8","135-0003","Tokyo","35.685640","139.816280"
"Yamato Misumichou","PCJ00679","Yamato Misumichou","Tokyo-to, Higashimurayama-shi, Misumicho 1 Chome-14","189-0023","Higashimurayama","35.750799","139.460428"
"You-Me Class Hiratsuka","PCJ02137","You-Me Class Hiratsuka","Kanagawa-ken, Hiratsuka-shi, Kouchi 370","254-0903","Hiratsuka","35.335420","139.312242"
"Yamato Kawagoeimafuku","PCJ01370","Yamato Kawagoeimafuku","Saitama-ken, Kawagoe-shi, Nakafuku 420-9","350-1156","Kawagoe","35.867721","139.471958"
"Kansai Super Ichioka","PCJ02126","Kansai Super Ichioka","Osaka-fu, Osaka-shi, Minato-ku, Ichioka 2 Chome-4-25","552-0012","Osaka","34.662214","135.458976"
"Yorkmart Shibamaekawa","PCJ02182","Yorkmart Shibamaekawa","Saitama-ken, Kawaguchi-shi, Shibashimo 3 Chome-37-28","333-0848","Kawaguchi","35.839798","139.704516"
"JR West Fujinomori station","PCJ01566","JR West Fujinomori station","Kyoto-fu, Kyoto-shi, Fushimi-ku, Oyamacho, Fukakusa Okamedani 99","612-0847","Kyoto","34.948247","135.775703"
"Life Kikukawa","PCJ01975","Life Kikukawa","Tokyo-to, Sumida-ku, Kikukawa 1 Chome-18-5","130-0024","Tokyo","35.690010","139.802222"
"Auchan Plaisir MR","PCF00036","Auchan Plaisir MR","161 Chemin departamental","78370","PLAISIR","48.828445","1.961557"
"NJCU","USA00056","2039 John F. Kennedy Blvd",,"07305","Jersey City","40.709526","-74.087206"
"Bureau de Poste Rouen Saint Sever","PCG00333-172109","BP Rouen Saint Sever","1 PLACE DES EMMUREES","76100","ROUEN","49.433595","1.086578"
"Auchan St Quentin","PCF00103","AUCHAN SAINT QUENTIN"," RN29 FAYET","02100","SAINT QUENTIN","49.860113","3.252649"
"Yamato Hyakunincho center","PCJ00765","Yamato Hyakunincho center","Tokyo-to, Shinjuku-ku, Hyakunincho, 1 Chome-18-3","169-0073","Shinjuku","35.701355","139.695757"
"Nikami Seimai","PCJ00042","Nikami Seimai","Suginami-ku, Shimoigusa 3-27-20","167-0022","Tokyo","35.721266","139.624785"
"Chukyo University","PCJ00978","Chukyo University","Aichi-ken, Toyota-shi, Kaizucho, Tokodachi 101","470-0348","Toyota","35.138062","137.147534"
"YAMATO Atsugiaikou","PCJ01717","YAMATO Atsugiaikou","Kanagawa-ken, Atsugi-shi, Aiko 1922-1","243-0035","Atsugi","35.419174","139.350836"
"Yamato Tokorozawana","PCJ01374","Yamato Tokorozawana","Saitama-ken, Tokorozawa-shi, Shimoarai 1461","359-0031","Tokorozawa","35.809009","139.493754"
"Yamato Choshi","PCJ01133","Yamato Choshi","Chiba-ken, Choshi-shi, Obamacho, 1958-1","288-0821","Choshi","35.713716","140.768250"
"LaFoodsCore Nayabashi","PCJ01610","LaFoodsCore Nayabashi","Aichi-ken, Nagoya-shi, Naka-ku, Shinsakae 1 Chome-2-1 ","460-0007","Nagoya","35.169244","136.915660"
"Yamato Sahara","PCJ01136","Yamato Sahara","Chiba-ken, Katori-shi, Sawarai 3916-1","287-0003","Katori","35.895278","140.502729"
"JR West Suita station","PCJ01889","JR West Suita station","Osaka-fu, Suita-shi, Asahimachi 1-1","564-0027","Suita","34.763144","135.523724"
"Wondergoo Kamagaya","PCJ01755","Wondergoo Kamagaya","Chiba-ken, Kamagaya-shi, Higashikamagaya 1 Chome-6","273-0104","Kamagaya","35.763427","140.015982"
"Diamor Osaka","PCJ01502","Diamor Osaka","Osaka-fu, Osaka-shi, Kita-ku, Umeda, 1 Chome-10","530-0001","Osaka","34.699749","135.497659"
"Yamato Sensui","PCJ00868","Yamato Sensui","Saitama-ken, Asaka-shi, Senzui 3 Chome-8-16","351-0024","Asaka","35.807338","139.577840"
"Yamato Kitamotochuou","PCJ01387","Yamato Kitamotochuou","Saitama-ken, Kitamoto-shi, Honcho, 4 Chome-24-1","364-0033","Kitamoto","36.022002","139.528717"
"Yamato Buzo","PCJ01085","Yamato Buzo","Saitama-ken, Saitama-shi, Minami-ku, Buzo 4 Chome-12-3","336-0025","Saitama","35.837561","139.671410"
"Yorkmart Hagashisuna","PCJ02174","Yorkmart Hagashisuna","Tokyo-to, Koto-ku, Higashisuna 1 Chome-3-36","136-0074","Tokyo","35.684665","139.840723"
"Hyper U- Guichen","PCG00395","HYPER U GUICHEN","11 RUE LOUIS AMPERE","35580","GUICHEN","47.971993","-1.793749"
"Yorkmart Higashimurayama","PCJ02175","Yorkmart Higashimurayama","Tokyo-to, Higashimurayama-shi, Ontacho 5 Chome-47-5","189-0011","Tokyo","35.757095","139.486325"
"Yorkmart Iruma","PCJ01884","Yorkmart Iruma","Saitama-ken, Iruma-shi, Shimofujisawa 1317-1","358-0011","Iruma","35.821984","139.396268"
"Yorkmart Fujiwara","PCJ02180","Yorkmart Fujiwara","Chiba-ken, Funabashi-shi, Fujiwara 3 Chome-36-1","273-0047","Funabashi","35.736860","139.979050"
"Yamato Kitakarasuyama","PCJ00804","Yamato Kitakarasuyama","Tokyo-to, Setagaya-ku, Kitakarasuyama 5 Chome-2-5","157-0061","Tokyo","35.676015","139.596226"
"Yamato Nishiogu","PCJ00817","Yamato Nishiogu","Tokyo-to, Arakawa-ku, Nishiogu 7 Chome-17-1","116-0011","Tokyo","35.749559","139.756525"
"Higashinihon Usami Isehara","PCJ01886","Higashinihon Usami Isehara","Kanagawa-ken, Isehara-shi, Utagawa1 Chome-3-5","259-1128","Isehara","35.402097","139.343103"
"Yorkmart Nerimaheiwa","PCJ01878","Yorkmart Nerimaheiwa","Tokyo-to, Nerima-ku, Hayamiya 2 Chome-2-28","179-0085","Tokyo","35.755933","139.656502"
"Big-A Arakawa 3 chome","PCJ01524","Big-A Arakawa 3 chome","Tokyo-to, Arakawa-ku, Arakawa 3 Chome-29-8","116-0002","Tokyo","35.734057","139.781475"
"Belc Kawagoekosenba","PCJ00406","Belc Kawagoekosenba","Saitama-ken, Kawagoe-shi, Kosenbamachi 3 Chome-16-3","350-0036","Kawagoe","35.915865","139.496814"
"Big-A Adachi-Minamihanahata","PCJ02158","Big-A Adachi-Minamihanahata","Tokyo-to, Adachi-ku, Minamihanahata 5 Chome-7-9","121-0062","Tokyo","35.794686","139.816609"
"Big-A Adachi Yanaka","PCJ02159","Big-A Adachi Yanaka","Tokyo-to, Adachi-ku, Yanaka 5 Chome-4-18","120-0006","Tokyo","35.782321","139.836568"
"Yamato Kitakoshigaya","PCJ01080","Yamato Kitakoshigaya","Saitama-ken, Koshigaya-shi, Minamiogishima 895","343-0804","Koshigaya","35.906782","139.765553"
"Parkcity Shinkawasaki","PCJ02143","Parkcity Shinkawasaki","Kanagawa-ken, Kawasaki-shi, Saiwai-ku, 1-1 Ogura","212-0054","Kawasaki","35.548436","139.674501"
"Packcity DEMO","NEO99999","Packcity DEMO",,"75015","PARIS","48.831771","2.288073"
"Yamato Hanamigawa","PCJ01111","Yamato Hanamigawa","Chiba-ken, Chiba-shi, Hanamigawa-ku, Amadocho 591-1","262-0043","Chiba","35.675623","140.092428"
"Decathlon Atlantis","PCF00104","Decathlon Atlantis Saint-Herblain","Zone Commerciale Atlantis, Place Océane ","44800","SAINT-HERBLAIN","47.224035","-1.627217"
"JR West Hanaten","PCJ01564","JR West Hanaten","Osaka-fu, Osaka-shi, Tsurumi-ku, Hanatenhigashi 3 Chome-21-52","538-0044","Osaka","34.688253","135.563617"
"Yorkmart Miyakochou","PCJ01883","Yorkmart Miyakochou","Chiba-ken, Chiba-shi, Chuo-ku, Miyakocho 2 Chome-6-25","260-0001","Chiba","35.610047","140.137349"
"Yorkmart Sakigaoka","PCJ02078","Yorkmart Sakigaoka","Chiba-ken, Funabashi-shi, Sakigaoka 1 Chome-6-18","274-0807","Funabashi","35.758115","140.017933"
"Cainzhome Akishima","PCJ02344","Cainzhome Akishima","Tokyo-to, Akishima-shi, Tsutsujigaoka 2 Chome-8-55","196-0012","Akishima","35.716290","139.366175"
"Yorkmart Natsumidai","PCJ02077","Yorkmart Natsumidai","Chiba-ken, Funabashi-shi, Natsumidai 2 Chome-1-35","273-0866","Funabashi","35.720845","139.990669"
"Yorkmart Ookurayama","PCJ01879","Yorkmart Ookurayama","Kanagawa-ken, Yokohama-shi, Kohoku-ku, Okurayama 4 Chome-3-5","222-0037","Yokohama","35.519454","139.625683"
"Yamato Chibaminato","PCJ01099","Yamato Chibaminato","Chiba-ken, Chiba-shi, Chuo-ku, Tonyacho 5-37","260-0025","Chiba","35.599622","140.111535"
"Yorkmart Myourennji","PCJ02075","Yorkmart Myourennji","Kanagawa-ken, Yokohama-shi, Kohoku-ku, Kikuna 2 Chome-16-12","222-0011","Yokohama","35.500643","139.636331"
"Yorkmart Kurihara","PCJ01873","Yorkmart Kurihara","Tokyo-to, Adachi-ku, Kurihara 4 Chome-16-1","123-0842","Tokyo","35.785520","139.785462"
"Tokyo Metro Hounancho","PCJ02304","Tokyo Metro Hounancho","Tokyo-to, Suginami-ku, Horinouchi 1 Chome-1-1","166-0013","Tokyo","35.683445","139.656579"
"Yamato Atsugikamiogino","PCJ01719","Yamato Atsugikamiogino","Kanagawa-ken, Atsugi-shi, Kamiogino 2265-1","243-0201 ","Atsugi","35.512730","139.301084"
"Big-A Kashiwanishihara","PCJ02168","Big-A Kashiwanishihara","Chiba-ken, Kashiwa-shi, Nishihara 7 Chome-11-26","277-0885","Kashiwa","35.886694","139.929163"
"Yamato Yokaichiba","PCJ01138","Yamato Yokaichiba","Chiba-ken, Sosa-shi, Yokaichibaho, 3107-1","289-2146","Sosa","35.691337","140.528902"
"Big-A Chibamasago 1 chome","PCJ02162","Big-A Chibamasago 1 chome","Chiba-ken, Chiba-shi, Mihama-ku, Masago1 Chome-12-13","261-0011","Chiba","35.633362","140.070814"
"Yamato Narita NT","PCJ01132","Yamato Narita NT","Chiba-ken, Narita-shi, Oshihata 1209-1","286-0845","Narita","35.797373","140.310653"
"Yamato Matsudosakaemachi","PCJ01396","Yamato Matsudosakaemachi","Chiba-ken, Matsudo-shi, Shinden Monto 438-1","271-0042","Matsudo","35.821077","139.895343"
"Big-A Narashino Okubo","PCJ02165","Big-A Narashino Okubo","Chiba-ken, Narashino-shi, Okubo 3 Chome-12-17","275-0011","Narashino","35.691173","140.050403"
"Yamato Sagamiharaooshima","PCJ01775","Yamato Sagamiharaooshima","Kanagawa-ken, Sagamihara-shi, Midori-ku,Oshima 842-1","252-0135","Sagamihara","35.581273","139.313612"
"Yamato Machida Kanamori center","PCJ00609","Yamato Machida Kanamori center","Tokyo-to, Machida-shi, Minamimachida, 3 Chome-26-1","194-0005 ","Machida","35.517709","139.470603"
"Life Niiza","PCJ02057","Life Niiza","Saitama-ken, Niiza-shi, Kurihara 4 Chome-12-25","352-0035","Niiza","35.755529","139.550849"
"Yamato Matsudokamishiki","PCJ01404","Yamato Matsudokamishiki","Chiba-ken, Matsudo-shi, Kamishiki, 96-1","270-2221","Matsudo","35.775877","139.945230"
"Yamato Asahi","PCJ01139","Yamato Asahi","Chiba-ken, Asahi-shi, 5841-2 Ni ","289-2504","Asahi","35.717417","140.624659"
"Yamato Kouyama","PCJ00667","Yamato Kouyama","Tokyo-to, Nerima-ku, Koyama 1 Chome-2-1","176-0022","Tokyo","35.737719","139.643747"
"Yorkmart Minamihara","PCJ02176","Yorkmart Minamihara","Kanagawa-ken, Hiratsuka-shi, Minamihara 1 Chome-24-39","254-0065","Hiratsuka","35.339119","139.323507"
"Yorkmart Shimomae","PCJ02184","Yorkmart Shimomae","Saitama-ken, Toda-shi, Shimomae 2 Chome-1-12","335-0016","Toda","35.806835","139.688745"
"Yorkmart Yanagizaki","PCJ02183","Yorkmart Yanagizaki","Saitama-ken, Kawaguchi-shi, Yanagisaki 5 Chome-1-35","333-0861","Kawaguchi","35.857777","139.705580"
"Yorkmart Nishiootake","PCJ02179","Yorkmart Nishiootake","Kanagawa-ken, Hadano-shi, Ojiri 875","257-0011","Hadano","35.361896","139.231363"
"Setagaya Kuyakushyo Honchosha","PCJ01855","Setagaya Kuyakushyo Honchosha","Tokyo-to, Setagaya-ku, Setagaya 4 Chome-21-27","154-0017","Tokyo","35.645779","139.652770"
"Yamato Kujukuri","PCJ01145","Yamato Kujukuri","Chiba-ken, Sanbu-gun, Kujukuri-machi, Nishino, 1914-36","283-0116","Sanbu","35.510494","140.435258"
"Yamato Matsudomikoze","PCJ01406","Yamato Matsudomikoze","Chiba-ken, Matsudo-shi, Mikoze 1328","270-0026","Matsudo","35.817814","139.922052"
"Yamato Ichikawakashi","PCJ01402","Yamato Ichikawakashi","Chiba-ken, Ichikawa-shi, Kashiwaimachi 3 Chome-101","272-0802","Ichikawa","35.746402","139.958449"
"Yorkmart Tsuga","PCJ02076","Yorkmart Tsuga","Chiba-ken, Chiba-shi, Wakaba-ku, Tsuga 1 Chome-12-1","264-0025","Chiba","35.631317","140.146160"
"Yamato Matsudotokiwa","PCJ01405","Yamato Matsudotokiwa","Chiba-ken, Matsudo-shi, Higurashi 6 Chome-6","270-2253","Matsudo","35.792241","139.944319"
"Yamato Shounanootugaoka","PCJ01809","Yamato Shounanootugaoka","Chiba-ken, Kashiwa-shi, Otsugaoka 4 Chome-1-14","277-0921","Kashiwa","35.835546","139.997936"
"Yamato Ooshima center","PCJ00758","Yamato Ooshima center","Tokyo-to, Koto-ku, Kameido, 7 Chome-53-17","136-0071 ","Tokyo","35.694674","139.835890"
"Yorkmart Kamonomiya","PCJ02177","Yorkmart Kamonomiya","Kanagawa-ken, Odawara-shi, Minamikamonomiya 3 Chome-35-28","250-0875","Odawara","35.272755","139.181458"
"Yorkmart Kitakaname","PCJ02311","Yorkmart Kitakaname","Kanagawa-ken, Hiratsuka-shi, Kitakaname 1 Chome-6-1","259-1207","Hiratsuka","35.367968","139.283582"
"Yamato Chibasakaecho","PCJ01101","Yamato Chibasakaecho","Chiba-ken, Chiba-shi, Chuo-ku, Sakaecho, 36-10","260-0016","Chiba","35.611456","140.119746"
"Welcia Fuchutenjin","PCJ02071","Welcia Fuchutenjin","Tokyo-to, Fuchu-shi, Tenjincho 3 Chome-12-6","183-0053","Fuchu","35.684628","139.488675"
"Yamato Nagareyamanazukari","PCJ01409","Yamato Nagareyamanazukari","Chiba Prefecture, Nagareyama, Nazukari, Nishi no shita 97","270-0145","Nagareyama","35.848301","139.934184"
"Yamato Tsukuiko","PCJ01771","Yamato Tsukuiko","Kanagawa-ken, Sagamihara-shi, Midori-ku, Oi 627","252-0152","Sagamihara","35.585149","139.271970"
"Yamato Horinouchi","PCJ01060","Yamato Horinouchi","Saitama-ken, Saitama-shi, Minuma-ku, Mikura 503-1","337-0033","Saitama","35.908110","139.675056"
"Yorkmart Isehara Narusue","PCJ02313","Yorkmart Isehara Narusue","Kanagawa-ken, Isehara-shi, Shimokasuya 3022-1","259-1143","Isehara","35.408098","139.326038"
"Bureau de Poste Rouen Saint Sever","PCG00333","BP Rouen Saint Sever","1 PLACE DES EMMUREES","76100","ROUEN","49.433595","1.086578"
"JR West Higashikakogawa","PCJ01574","JR West Higashikakogawa","Hyogo-ken, Kakogawa-shi, Shinzaike, Hiraokacho 1498","675-0101","Kakogawa","34.745852","134.869023"
"Kansai Super Toyonaka","PCJ02129","Kansai Super Toyonaka","Osaka-fu, Toyonaka-shi, Daikokucho 1 Chome-20-1 ","561-0827","Toyonaka","34.742868","135.469944"
"Kansai Super Takaishi","PCJ02127","Kansai Super Takaishi","Osaka-fu, Takaishi-shi, Kamo 1 Chome-21-23","592-0011","Takaishi","34.523049","135.435743"
"Kansai Super Uchindaicho","PCJ02130","Kansai Super Uchindaicho","Osaka-fu, Osaka-shi, Miyakojima-ku, Uchindaicho 2 Chome-4-12","534-0013","Osaka","34.711056","135.537391"
"Inageya Simosyakujii","PCJ01024","Inageya Simosyakujii","Tokyo-to, Nerima-ku, Shimoshakujii 4 Chome-34-26","177-0042 ","Tokyo","35.728855","139.600015"
"Inageya Kawagoeasahi","PCJ01020","Inageya Kawagoeasahi","Saitama-ken, Kawagoe-shi, Asahicho 2 Chome-11-5","350-1126","Kawagoe","35.901561","139.474374"
"Yamato Aobautsukushi","PCJ01285","Yamato Aobautsukushi","Kanagawa-ken, Yokohama-shi, Aoba-ku, Kuroganecho 1469 ","225-0025","Yokohama","35.564530","139.522075"
"Yamato Nodakita","PCJ01084","Yamato Nodakita","Chiba-ken, Noda-shi, Funakata 1555","270-0233","Noda","35.985387","139.852541"
"Yorkmart Minamimouri","PCJ02309","Yorkmart Minamimouri"," Kanagawa-ken, Atsugi-shi, Nurumizu 906-1","243-0033","Atsugi","35.436257","139.339503"
"Maruestu Daisankeihi","PCJ02115","Maruestu Daisankeihi","Kanagawa-ken, Kawasaki-shi, Takatsu-ku, Sakado 1 Chome-13-8","213-0012","Kawasaki","35.597691","139.622941"
"Maruetsu Angyojirin","PCJ02119","Maruetsu Angyojirin","Saitama-ken, Kawaguchi-shi, Angyojirin 173","334-0071","Kawaguchi","35.836935","139.751447"
"Yorkmart Atsugi Tsumadakita","PCJ02307","Yorkmart Atsugi Tsumadakita","Kanagawa-ken, Atsugi-shi, Tsumadakita 1 Chome-7-27","243-0812","Atsugi","35.461270","139.357981"
"Yorkmart Atsugi Inter","PCJ02308","Yorkmart Atsugi Inter","Kanagawa-ken, Atsugi-shi, Sakai 3052","243-0022","Atsugi","35.422373","139.358801"
"Yorkmart Mutsuura","PCJ01880","Yorkmart Mutsuura","Kanagawa-ken, Yokohama-shi, Kanazawa-ku, Mutsuura 5-20-5","236-0031","Yokohama","35.326090","139.612717"
"Watanabe Saketen","PCJ02365","Watanabe Saketen","Saitama-ken, Saitama-shi, Yotsuya Minami-ku, 2 Chome-6-21","336-0032","Saitama","35.841931","139.637850"
"Welcia Haciojinibuka","PCJ02067","Welcia Haciojinibuka","Tokyo, Hachioji, Nibukatamachi 461-1","193-0822","Hachioji","35.672630","139.283881"
"Times 24 Tachikawashi Nishikicho","PCJ02776","Times 24 Tachikawashi Nishikicho","Tokyo-to, Tachikawa-shi, Nishikicho 2 Chome-2","190-0022","Tokyo","35.694578","139.415108"
"Inageya Irumakasuga","PCJ01022","Inageya Irumakasuga","Saitama-ken, Iruma-shi, Kasugacho 1 Chome-4-15","358-0006","Iruma","35.848662","139.381314"
"Inageya Tokorozawase","PCJ01021","Inageya Tokorozawase","Saitama-ken, Tokorozawa-shi, Arahata 1359-17","359-1133","Tokorozawa","35.769771","139.449430"
"Welcia Higashikurume","PCJ02070","Welcia Higashikurume","Tokyo-to, Higashikurume-shi, Honcho 1 Chome-4-33","203-0053","Tokyo","35.758916","139.532485"
"Yamato Ageohiratsuka","PCJ01073","Yamato Ageohiratsuka","Saitama-ken, Ageo-shi, Hiratsuka 206-1","362-0011","Ageo","35.977647","139.616803"
"Inageya Yokohama Tsunashimanishi","PCJ01030","Inageya Yokohama Tsunashimanishi","Kanagawa-ken, Yokohama-shi, Kohoku-ku, Tsunashimanishi 4 Chome-12-18","223-0053","Yokohama","35.543009","139.627099"
"Inageya Nerimaminami","PCJ02347","Inageya Nerimaminami","Tokyo-to, Nerima-ku, Minamioizumi 1 Chome-6-15","178-0064","Tokyo","35.737079","139.576422"
"Yamato Sakaecho","PCJ01131","Yamato Sakaecho","Chiba-ken, Inba-gun, Sakae-machi, Ajiki 2421-137","270-1516","Inba","35.835750","140.249234"
"Yamato Kashiwanadoga","PCJ01807","Yamato Kashiwanadoga","Chiba-ken, Kashiwa-shi, Nadogaya 1321-1","277-0032","Kashiwa","35.837765","139.975272"
"Yamato Ageohigashi","PCJ01072","Yamato Ageohigashi","Saitama-ken, Ageo-shi, Ageoshimo 795-3","362-0025","Ageo","35.969963","139.614467"
"You Me Classodawara","PCJ02139","You Me Classodawara","Kanagawa-ken, Odawara-shi, 41-2 Araya","250-085","Odawara","35.294969","139.138732"
"Yorkmart Higashimichinobe","PCJ02432","Yorkmart Higashimichinobe","Chiba-ken, Kamagaya-shi, Higashimichinobe 5 Chome-16-38","273-0115","Kamagaya","35.748994","139.999497"
"Kamikitazawa Chiku Kaikan","PCJ01856","Kamikitazawa Chiku Kaikan","Tokyo-to, Setagaya-ku, Kamikitazawa 2 Chome-1-3","156-0057","Tokyo","35.663183","139.622476"
"Inageya Misatotogasa","PCJ02363","Inageya Misatotogasa","Saitama-ken, Misato-shi, Togasaki 2 Chome-243-5","341-0044","Misato","35.803906","139.862001"
"Maruetsu Ikou","PCJ01656","Maruetsu Ikou","Tokyo-to, Adachi-ku, Iko 2 Chome-21-20","121-0823","Tokyo","35.795042","139.780214"
"Inageya Kodairakaida","PCJ02351","Inageya Kodairakaida","Tokyo-to, Kodaira-shi, Meguritacho 92-1","187-0013","Tokyo","35.718438","139.491578"
"Harvard Business School 4","USA00059","Harvard Business School","ROCKHALL 10","02163","Boston","42.365515","-71.122141"
"Harvard Business School 3","USA00058","Harvard Business School","ROCKHALL 10","02163","Boston","42.365515","42.365515"
"JR Shinmisato","PCJ00023","JR Shinmisato","Saitama-ken, Misato-shi, Shinmisato LaLa City 2-4-1","341-0009","Misato","35.858659","139.869315"
"YAMATO Wakamatsu","PCJ01114","YAMATO Wakamatsu","Chiba-ken, Chiba-shi, Wakaba-ku, Wakamatsucho 2216-3","264-0021","Chiba","35.637202","140.173688"
"Welcia Abikowakamatsu","PCJ02325","Welcia Abikowakamatsu","Chiba-ken, Abiko-shi, Wakamatsu102","270-1147","Abiko","35.866032","140.019006"
"Kintetsu Kawachikosa","PCJ01604","Kintetsu Kawachikosa","Osaka-fu, Higashiosaka-shi, Kosaka 1 Chome-8-8","577-0801","Higashiosaka","34.664116","135.581238"
"Big-A Funabashi Takanedai","PCJ01530","Big-A Funabashi Takanedai","Chiba-ken, Funabashi-shi, Takanedai 3 Chome-3-4","274-0065","Funabashi","35.731695","140.040828"
"Big-A Misatoekimae","PCJ02321","Big-A Misatoekimae","Saitama-ken, Misato-shi, Waseda 1 Chome-17-9","341-0018","Misato","35.847114","139.885086"
"Yamato Izumihigashi","PCJ01177","Yamato Izumihigashi","Kanagawa-ken, Yokohama-shi, Izumi-ku, Nakatacho 2762-1","245-0011","Yokohama","35.421534","139.501364"
